assistant_spans,assistant_text_spans,assistant_tool_call_spans,boundary_masked_characters,boundary_masked_texts,boundary_merged_spans,boundary_non_whitespace_characters,characters,dataset_index,length_bin,masked_tokens,messages,over_max_model_len,status,supervised_fraction,supervised_tokens,task_id,tokens,tool_results,trajectory_id
13,5,8,2,"[""\n\n""]",1,0,36343,123,08193-12288,8533,27,False,ok,0.2034910855969383,2180,110,10713,8,35b959e8-b003-41a1-968a-82c63010ad9d
18,6,12,2,"[""\n\n""]",1,0,43432,124,12289-32768,10781,37,False,ok,0.1961076728059056,2630,112,13411,12,7cd365f9-e289-4b76-b7c1-18c6803cc687
18,7,11,4,"[""\n\n"", ""\n\n""]",2,0,43405,125,12289-32768,10738,37,False,ok,0.2124101510928561,2896,112,13634,11,018e1445-9025-4302-842e-e11b3052462f
11,3,8,0,[],0,0,30014,126,08193-12288,7721,23,False,ok,0.0830166270783848,699,113,8420,8,52d58da9-e37e-4882-b372-8b3a11e472c1
14,6,8,2,"[""\n\n""]",1,0,31077,127,08193-12288,7802,29,False,ok,0.09990770650669129,866,113,8668,8,d60295be-a5aa-42bd-9a78-ae5df045460f
16,6,10,4,"[""\n\n"", ""\n\n""]",2,0,43305,128,12289-32768,11134,33,False,ok,0.1776957163958641,2406,91,13540,10,461c2109-219b-4d80-8969-49305eb634a4
10,5,5,2,"[""\n\n""]",1,0,30343,129,08193-12288,7231,21,False,ok,0.1356681807315324,1135,80,8366,5,df84b4d7-990c-483e-ab2c-a24897c88634
11,5,6,2,"[""\n\n""]",1,0,30696,130,08193-12288,7467,23,False,ok,0.12870478413068845,1103,75,8570,6,16d3c092-c9ef-4e77-8f34-8e7306ba0fe4
14,5,9,0,[],0,0,36260,131,08193-12288,8780,29,False,ok,0.1610129001433349,1685,78,10465,9,1ccc8836-b877-484c-a4f6-182fa23a0e01
10,4,6,2,"[""\n\n""]",1,0,28895,132,04097-08192,7078,21,False,ok,0.11767638992769883,944,85,8022,6,d8fee49c-4aef-44d9-9403-5523ba885686
11,6,5,4,"[""\n\n"", ""\n\n""]",2,0,30958,133,08193-12288,7273,23,False,ok,0.14885898186073726,1272,80,8545,5,e56583cd-4972-4df7-af7b-b6665ff903a1
15,4,11,2,"[""\n\n""]",1,0,40169,134,12289-32768,11117,31,False,ok,0.12903478533375118,1647,95,12764,11,3c5eb8c9-cd40-4dfe-a4ce-9e40a596985a
18,6,12,4,"[""\n\n"", ""\n\n""]",2,0,49513,135,12289-32768,11600,37,False,ok,0.236188845723316,3587,98,15187,12,ea435c23-8668-43bc-8cf7-5af21e96fb6f
11,5,6,4,"[""\n\n"", ""\n\n""]",2,0,29695,136,08193-12288,7107,23,False,ok,0.1328696925329429,1089,14,8196,6,be87005c-0cbd-4f73-a189-f11f2b74b455
10,4,6,4,"[""\n\n"", ""\n\n""]",2,0,31360,137,08193-12288,8234,21,False,ok,0.11604938271604938,1081,75,9315,6,f405bd00-e138-48b6-b5c8-776c5110a9c0
13,4,9,0,[],0,0,35217,138,08193-12288,8623,27,False,ok,0.15700459477954834,1606,78,10229,9,3cc69904-c9bd-4fce-b791-5decf6b786da
12,5,7,4,"[""\n\n"", ""\n\n""]",2,0,31576,139,08193-12288,7847,25,False,ok,0.12655832591273375,1137,84,8984,7,30aa28a7-8577-4f79-9d6b-7240d9175a88
10,5,5,4,"[""\n\n"", ""\n\n""]",2,0,28174,140,04097-08192,6614,21,False,ok,0.11872085276482346,891,66,7505,5,5c196d27-b19f-4299-88a3-106dde072697
13,4,9,4,"[""\n\n"", ""\n\n""]",2,0,37868,141,08193-12288,10174,27,False,ok,0.1363327674023769,1606,95,11780,9,6c2b07f0-62fc-419a-8e57-74802477eb76
13,4,9,4,"[""\n\n"", ""\n\n""]",2,0,31987,142,08193-12288,8060,27,False,ok,0.11477210323997804,1045,85,9105,9,e54ad32c-b9cf-4aca-b923-f9658f8373d7
12,5,7,4,"[""\n\n"", ""\n\n""]",2,0,32673,143,08193-12288,8109,25,False,ok,0.1562792633440849,1502,92,9611,7,e75fd309-d0cf-46c3-9b7c-6e9279116d0d
10,5,5,4,"[""\n\n"", ""\n\n""]",2,0,30306,144,08193-12288,7374,21,False,ok,0.14136003726129484,1214,75,8588,5,66878bb4-f991-4fcd-984e-ff0919246142
12,5,7,2,"[""\n\n""]",1,0,34572,145,08193-12288,9059,25,False,ok,0.116626036079961,1196,15,10255,7,131fbbdd-1e47-4d44-a0fb-6255af7f4f61
10,5,5,4,"[""\n\n"", ""\n\n""]",2,0,28546,146,04097-08192,6628,21,False,ok,0.1309820374983611,999,66,7627,5,fb28688e-c3d3-4d45-addf-21a74f5e73df
