assistant_spans,assistant_text_spans,assistant_tool_call_spans,boundary_masked_characters,boundary_masked_texts,boundary_merged_spans,boundary_non_whitespace_characters,characters,dataset_index,length_bin,masked_tokens,messages,over_max_model_len,status,supervised_fraction,supervised_tokens,task_id,tokens,tool_results,trajectory_id
11,4,7,4,"[""\n\n"", ""\n\n""]",2,0,31274,62,08193-12288,7245,23,False,ok,0.1438194280311983,1217,59,8462,7,a35fe70a-8aca-4128-b7ee-8408d0937ec8
12,4,8,2,"[""\n\n""]",1,0,31079,63,08193-12288,7254,25,False,ok,0.1351931330472103,1134,59,8388,8,1c6a72d6-6b52-4fd7-8d72-f72f602fd3b1
12,6,6,2,"[""\n\n""]",1,0,32912,64,08193-12288,7944,25,False,ok,0.14599010965383788,1358,63,9302,6,1ebe9f2b-6a56-4ac2-86ea-c361b1a1c212
11,5,6,2,"[""\n\n""]",1,0,33911,65,08193-12288,8001,23,False,ok,0.17540966711326395,1702,63,9703,6,c46e67b3-d145-4a64-8390-66842a743e68
10,5,5,4,"[""\n\n"", ""\n\n""]",2,0,28541,66,04097-08192,6624,21,False,ok,0.12542909955109585,950,66,7574,5,319edaa0-ccd0-4edd-af50-e015f7a472fc
11,6,5,6,"[""\n\n"", ""\n\n"", ""\n\n""]",3,0,28882,67,04097-08192,6631,23,False,ok,0.1318407960199005,1007,66,7638,5,90a2ccb1-71e4-43c3-92cb-220fdd0c8360
12,5,7,0,[],0,0,27248,68,04097-08192,6614,25,False,ok,0.09792689579923622,718,67,7332,7,f30865ff-571a-4a1b-a069-8c724ddeeec4
15,8,7,0,[],0,0,30494,69,04097-08192,6756,31,False,ok,0.16095380029806258,1296,67,8052,7,e22e6c7e-a73a-4e14-99bf-e8904e5bac7f
11,5,6,2,"[""\n\n""]",1,0,28182,70,04097-08192,6725,23,False,ok,0.10369185659069706,778,69,7503,6,c3fab5dc-7017-4108-aa92-2125015e00d9
11,5,6,4,"[""\n\n"", ""\n\n""]",2,0,28338,71,04097-08192,6716,23,False,ok,0.1111699311805188,840,69,7556,6,d536270c-9ef8-4267-9db3-83407a73308a
13,6,7,6,"[""\n\n"", ""\n\n"", ""\n\n""]",3,0,37020,72,08193-12288,8736,27,False,ok,0.19021134593993325,2052,72,10788,7,17c07dab-e59b-4203-984f-7089497286d7
18,7,11,6,"[""\n\n"", ""\n\n"", ""\n\n""]",3,0,47011,73,12289-16384,10364,37,False,ok,0.2561010623026127,3568,72,13932,11,d7cb5cd9-460e-4557-86d5-98d84ddf27c2
9,4,5,0,[],0,0,29517,74,08193-12288,7379,19,False,ok,0.11021343301579646,914,75,8293,5,553d0bf6-c4e7-44de-9631-b00406febadf
10,5,5,6,"[""\n\n"", ""\n\n"", ""\n\n""]",3,0,30130,75,08193-12288,7354,21,False,ok,0.13917827461079246,1189,75,8543,5,460bb108-b221-410e-acd5-f906e70a145a
15,3,12,0,[],0,0,37232,76,08193-12288,9951,31,False,ok,0.09766050054406965,1077,76,11028,12,bacbae2e-a494-4267-8e6a-bcb37c7f070c
17,4,13,2,"[""\n\n""]",1,0,49151,77,12289-16384,11319,35,False,ok,0.23680129458566515,3512,76,14831,13,970ea165-9473-433f-807a-d057d40c46dc
13,4,9,0,[],0,0,34791,78,08193-12288,8608,27,False,ok,0.14220229197807674,1427,78,10035,9,89f09728-bdca-4cc5-a87b-75cdb2121339
19,10,9,2,"[""\n\n""]",1,0,37188,79,08193-12288,8734,39,False,ok,0.17205422314911367,1815,78,10549,9,73e9c5be-b718-4ba4-9055-44f9e0b4b784
10,5,5,2,"[""\n\n""]",1,0,29887,80,08193-12288,7167,21,False,ok,0.13316400580551524,1101,80,8268,5,e8a1dfbb-e8c0-46db-b1b8-7c19e435cd39
11,6,5,2,"[""\n\n""]",1,0,29832,81,08193-12288,7197,23,False,ok,0.13048205871692642,1080,80,8277,5,f460fc88-3dd1-4418-b2f4-281d853f8001
12,4,8,2,"[""\n\n""]",1,0,32826,82,08193-12288,8165,25,False,ok,0.12373899978536167,1153,81,9318,8,9dcd7ee5-1626-48fc-bde2-489d73f0b1cb
13,5,8,2,"[""\n\n""]",1,0,32932,83,08193-12288,8229,27,False,ok,0.10271508014393196,942,81,9171,8,dc66b573-561b-4b43-a1ae-4feb535a774d
12,5,7,4,"[""\n\n"", ""\n\n""]",2,0,32356,84,08193-12288,7934,25,False,ok,0.15523850085178875,1458,82,9392,7,29bb2ca1-0de8-4213-a844-4af89e50d1a7
12,5,7,2,"[""\n\n""]",1,0,32687,85,08193-12288,7922,25,False,ok,0.16089397309607034,1519,82,9441,7,43ff731c-086d-4d1e-83cd-b7949d9838a5
11,4,7,2,"[""\n\n""]",1,0,30991,86,08193-12288,7840,23,False,ok,0.10919213725712987,961,83,8801,7,b195b68c-fc3e-4fc7-8a8d-43c386549708
13,6,7,2,"[""\n\n""]",1,0,32698,87,08193-12288,7955,27,False,ok,0.13869640537029018,1281,83,9236,7,03af3f2a-ad8c-41d1-9cd0-8b85ddb95d06
11,4,7,2,"[""\n\n""]",1,0,31169,88,08193-12288,7811,23,False,ok,0.12285233015160023,1094,84,8905,7,e3688874-2614-4c3e-a003-ba5284ae4151
11,4,7,2,"[""\n\n""]",1,0,30579,89,08193-12288,7835,23,False,ok,0.09630911188004614,835,84,8670,7,0a35d023-9524-4055-a010-44a549a2fc4d
10,4,6,2,"[""\n\n""]",1,0,28764,90,04097-08192,7079,21,False,ok,0.11423923923923925,913,85,7992,6,766fc44c-3601-4c5e-813f-a13c83a4a834
13,4,9,2,"[""\n\n""]",1,0,32453,91,08193-12288,8048,27,False,ok,0.12862711130359464,1188,85,9236,9,7ef05b90-d229-4e13-a25b-4106ddb73e11
15,4,11,2,"[""\n\n""]",1,0,34004,92,08193-12288,8432,31,False,ok,0.13491330665845902,1315,87,9747,11,5ef4fcf2-e164-416f-8c1b-879c9deb7f31
15,4,11,2,"[""\n\n""]",1,0,33960,93,08193-12288,8458,31,False,ok,0.13402272959967237,1309,87,9767,11,f3634f3e-76f8-412e-af83-4a2b3a4de4d0
11,4,7,0,[],0,0,32908,94,08193-12288,8802,23,False,ok,0.12217014062032512,1225,89,10027,7,0608d1f9-85fa-42e3-8609-ca091299c5c5
12,5,7,2,"[""\n\n""]",1,0,33380,95,08193-12288,8856,25,False,ok,0.12697160883280756,1288,89,10144,7,7aa5d946-f8f8-4694-9f90-7b4e63aab506
16,8,8,4,"[""\n\n"", ""\n\n""]",2,0,36965,96,08193-12288,8798,33,False,ok,0.20127099409895596,2217,91,11015,8,2bb8a53c-66bc-4505-9547-433bef10515f
15,7,8,6,"[""\n\n"", ""\n\n"", ""\n\n""]",3,0,38827,97,08193-12288,8792,31,False,ok,0.2523809523809524,2968,91,11760,8,6c00c9fa-1b4a-46fc-a4ca-d706dc6bf81e
11,4,7,2,"[""\n\n""]",1,0,31513,98,08193-12288,8046,23,False,ok,0.12324288983327884,1131,92,9177,7,4ef44d35-1735-4db2-8e88-7cf397d77918
12,5,7,4,"[""\n\n"", ""\n\n""]",2,0,32824,99,08193-12288,8099,25,False,ok,0.15441637084986426,1479,92,9578,7,9fd1d3da-2e45-4bf0-922e-76eef1589447
12,5,7,4,"[""\n\n"", ""\n\n""]",2,0,35139,100,08193-12288,9357,25,False,ok,0.12305529522024368,1313,93,10670,7,dff8df05-5efb-4451-ae05-fc16d4496a0b
12,5,7,4,"[""\n\n"", ""\n\n""]",2,0,35137,101,08193-12288,9425,25,False,ok,0.11973475296534977,1282,93,10707,7,40020b77-4a4f-420b-a8c0-83c0b87d2176
12,4,8,2,"[""\n\n""]",1,0,38087,102,08193-12288,10108,25,False,ok,0.15899825276645313,1911,95,12019,8,b158db36-a87c-48a3-8f30-c61cc28a2f4f
13,4,9,2,"[""\n\n""]",1,0,36869,103,08193-12288,10131,27,False,ok,0.11565991620111732,1325,95,11456,9,2fe0d7a3-4069-4fbf-aace-0edab5d7dd00
11,4,7,2,"[""\n\n""]",1,0,32994,104,08193-12288,8130,23,False,ok,0.14086441931734123,1333,96,9463,7,474ff6be-8984-404b-a68f-efc3bd3d9493
13,4,9,2,"[""\n\n""]",1,0,33805,105,08193-12288,8285,27,False,ok,0.14587628865979382,1415,96,9700,9,c0271e58-2746-4277-824c-aa14d4fd9274
16,4,12,2,"[""\n\n""]",1,0,51420,106,12289-16384,11417,33,False,ok,0.27918429193762234,4422,98,15839,12,9bb35156-39ee-4b1b-8ee5-08bf494ebf80
17,4,13,2,"[""\n\n""]",1,0,53922,107,>16384,12839,35,True,ok,0.2401609753210629,4058,98,16897,13,056017b6-8da2-4a97-8500-89d59462db5d
15,4,11,2,"[""\n\n""]",1,0,56017,108,>16384,10909,31,True,ok,0.354649787032655,5995,99,16904,11,7cd38137-61b3-4f4e-8da3-3d54bba014cd
15,3,12,0,[],0,0,44435,109,12289-16384,12332,31,False,ok,0.11756708407871198,1643,99,13975,12,cada7777-2a14-47ed-aa17-88ace8b0b5b8
20,7,13,2,"[""\n\n""]",1,0,42331,110,12289-16384,10591,41,False,ok,0.171931196247068,2199,103,12790,13,23c3d03e-fddf-42f5-aa79-d0d589d40813
24,10,14,6,"[""\n\n"", ""\n\n"", ""\n\n""]",3,0,45497,111,12289-16384,10903,49,False,ok,0.200425344675858,2733,103,13636,14,eeb099f9-3579-4bfe-bf3b-212947d64054
19,6,13,4,"[""\n\n"", ""\n\n""]",2,0,45329,112,12289-16384,11128,39,False,ok,0.20622012982381055,2891,104,14019,13,3f1235e2-5153-4456-b472-edea58959a9c
19,6,13,4,"[""\n\n"", ""\n\n""]",2,0,43717,113,12289-16384,11061,39,False,ok,0.17590523021904336,2361,104,13422,13,37d8421b-dcf4-433c-a416-dc56b5d357bc
11,7,4,8,"[""\n\n"", ""\n\n"", ""\n\n"", ""\n\n""]",4,0,33083,114,08193-12288,7188,23,False,ok,0.19498264083324002,1741,105,8929,4,546d54e2-1ff3-435f-a497-988fa6d1d402
14,6,8,6,"[""\n\n"", ""\n\n"", ""\n\n""]",3,0,38284,115,08193-12288,9021,29,False,ok,0.18737050716151699,2080,105,11101,8,4a542665-14cb-4428-b666-8d2a735fa021
12,4,8,2,"[""\n\n""]",1,0,32937,116,08193-12288,8481,25,False,ok,0.1125876321021241,1076,106,9557,8,664d967b-5f23-49f7-a26d-d7f73d30d9a7
13,6,7,4,"[""\n\n"", ""\n\n""]",2,0,34006,117,08193-12288,8179,27,False,ok,0.17815514469453375,1773,106,9952,7,46e40b69-1ba3-44ac-8f7d-7d1362609cdc
14,4,10,2,"[""\n\n""]",1,0,41835,118,12289-16384,10850,29,False,ok,0.17257683215130024,2263,107,13113,10,0a7c5419-8a76-4c27-9f24-6bad6458cb42
17,7,10,4,"[""\n\n"", ""\n\n""]",2,0,44998,119,12289-16384,10897,35,False,ok,0.21879704638325329,3052,107,13949,10,b353d029-e011-40aa-abb9-73efd81c5259
12,4,8,2,"[""\n\n""]",1,0,37014,120,08193-12288,8706,25,False,ok,0.2006243687448352,2185,109,10891,8,c4bdbdb1-1084-4fa5-b377-129f94f11fdd
13,4,9,2,"[""\n\n""]",1,0,39325,121,08193-12288,9580,27,False,ok,0.1910150312447222,2262,109,11842,9,752dde30-64c6-4e5b-b95d-5d169c561a29
15,7,8,4,"[""\n\n"", ""\n\n""]",2,0,36015,122,08193-12288,8513,31,False,ok,0.18985534830605252,1995,110,10508,8,0338f06a-8a31-4ffa-8de3-72215f091cd4
13,5,8,2,"[""\n\n""]",1,0,36324,123,08193-12288,8533,27,False,ok,0.20319357549724532,2176,110,10709,8,35b959e8-b003-41a1-968a-82c63010ad9d
18,6,12,2,"[""\n\n""]",1,0,43413,124,12289-16384,10781,37,False,ok,0.19586783023793541,2626,112,13407,12,7cd365f9-e289-4b76-b7c1-18c6803cc687
18,7,11,4,"[""\n\n"", ""\n\n""]",2,0,43386,125,12289-16384,10738,37,False,ok,0.21217901687454147,2892,112,13630,11,018e1445-9025-4302-842e-e11b3052462f
11,3,8,0,[],0,0,29995,126,08193-12288,7721,23,False,ok,0.08258079847908745,695,113,8416,8,52d58da9-e37e-4882-b372-8b3a11e472c1
14,6,8,2,"[""\n\n""]",1,0,31058,127,08193-12288,7802,29,False,ok,0.0994921514312096,862,113,8664,8,d60295be-a5aa-42bd-9a78-ae5df045460f
16,6,10,4,"[""\n\n"", ""\n\n""]",2,0,43286,128,12289-16384,11134,33,False,ok,0.17745271867612294,2402,91,13536,10,461c2109-219b-4d80-8969-49305eb634a4
10,5,5,2,"[""\n\n""]",1,0,30324,129,08193-12288,7231,21,False,ok,0.13525472375029898,1131,80,8362,5,df84b4d7-990c-483e-ab2c-a24897c88634
11,5,6,2,"[""\n\n""]",1,0,30677,130,08193-12288,7467,23,False,ok,0.1282979220172776,1099,75,8566,6,16d3c092-c9ef-4e77-8f34-8e7306ba0fe4
14,5,9,0,[],0,0,36241,131,08193-12288,8780,29,False,ok,0.16069209444603766,1681,78,10461,9,1ccc8836-b877-484c-a4f6-182fa23a0e01
10,4,6,2,"[""\n\n""]",1,0,28876,132,04097-08192,7078,21,False,ok,0.1172362185083562,940,85,8018,6,d8fee49c-4aef-44d9-9403-5523ba885686
11,6,5,4,"[""\n\n"", ""\n\n""]",2,0,30939,133,08193-12288,7273,23,False,ok,0.14846036763844983,1268,80,8541,5,e56583cd-4972-4df7-af7b-b6665ff903a1
15,4,11,2,"[""\n\n""]",1,0,40150,134,12289-16384,11117,31,False,ok,0.12876175548589341,1643,95,12760,11,3c5eb8c9-cd40-4dfe-a4ce-9e40a596985a
18,6,12,4,"[""\n\n"", ""\n\n""]",2,0,49494,135,12289-16384,11600,37,False,ok,0.2359876177303563,3583,98,15183,12,ea435c23-8668-43bc-8cf7-5af21e96fb6f
11,5,6,4,"[""\n\n"", ""\n\n""]",2,0,29676,136,04097-08192,7107,23,False,ok,0.1324462890625,1085,14,8192,6,be87005c-0cbd-4f73-a189-f11f2b74b455
10,4,6,4,"[""\n\n"", ""\n\n""]",2,0,31341,137,08193-12288,8234,21,False,ok,0.11566963806250671,1077,75,9311,6,f405bd00-e138-48b6-b5c8-776c5110a9c0
13,4,9,0,[],0,0,35198,138,08193-12288,8623,27,False,ok,0.15667481662591687,1602,78,10225,9,3cc69904-c9bd-4fce-b791-5decf6b786da
12,5,7,4,"[""\n\n"", ""\n\n""]",2,0,31557,139,08193-12288,7847,25,False,ok,0.12616926503340758,1133,84,8980,7,30aa28a7-8577-4f79-9d6b-7240d9175a88
10,5,5,4,"[""\n\n"", ""\n\n""]",2,0,28155,140,04097-08192,6614,21,False,ok,0.118250899880016,887,66,7501,5,5c196d27-b19f-4299-88a3-106dde072697
13,4,9,4,"[""\n\n"", ""\n\n""]",2,0,37849,141,08193-12288,10174,27,False,ok,0.13603940217391305,1602,95,11776,9,6c2b07f0-62fc-419a-8e57-74802477eb76
13,4,9,4,"[""\n\n"", ""\n\n""]",2,0,31968,142,08193-12288,8060,27,False,ok,0.11438303483133722,1041,85,9101,9,e54ad32c-b9cf-4aca-b923-f9658f8373d7
12,5,7,4,"[""\n\n"", ""\n\n""]",2,0,32654,143,08193-12288,8109,25,False,ok,0.15592796918913293,1498,92,9607,7,e75fd309-d0cf-46c3-9b7c-6e9279116d0d
10,5,5,4,"[""\n\n"", ""\n\n""]",2,0,30287,144,08193-12288,7374,21,False,ok,0.14095992544268407,1210,75,8584,5,66878bb4-f991-4fcd-984e-ff0919246142
12,5,7,2,"[""\n\n""]",1,0,34553,145,08193-12288,9059,25,False,ok,0.11628133840600917,1192,15,10251,7,131fbbdd-1e47-4d44-a0fb-6255af7f4f61
